NODE0,NODE1,NODE2,NODE3,NODE4,NODE5,NODE6,NODE7,NODE8,NODE9,NODE10,NODE11,NODE12,NODE13,NODE14,NODE15,NODE16,NODE17,NODE18,NODE19,NODE20,NODE21,NODE22,NODE23,NODE24,NODE25,NODE26,NODE27,NODE28,NODE29,NODE30,NODE31,NODE32,NODE33,NODE34,NODE35,NODE36,NODE37,NODE38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016003892
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016003763
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016002668
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014004091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014006266
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016003264
0.0,2.2610042,2.2969987,0.0,0.0,0.0,0.0,0.0,0.0,1.6999973,1.2430003,0.0,0.0,0.0,0.0,2.2309992,0.0,5.6850066,0.0,0.0,0.0,1.9819962,0.0,0.0,0.0,1.5900006,1.6439976,1.5710034,0.0,0.0,0.0,1.6949984,0.0,0.0,0.0,0.0,0.0,1.6449997,25.544003
0.0,1.8689964,1.9199964,0.0,0.0,0.0,0.0,0.0,0.0,1.4279971,1.147,0.0,0.0,0.89000076,0.0,1.8349956,0.0,4.5249963,0.0,0.0,0.0,1.6460027,0.0,0.0,0.0,1.3409977,1.3859982,1.4179958,0.0,0.0,0.0,1.3789982,0.0,0.0,0.0,0.0,0.0,1.3870002,22.170975
0.0,1.718003,1.7790025,0.0,0.0,0.0,0.0,0.0,0.0,1.3240017,1.0920016,0.0,0.0,0.6430006,0.0,1.6939974,0.0,4.004992,0.0,0.0,0.0,1.5199971,0.0,0.0,0.0,1.249001,1.2839972,1.3369968,0.0,0.0,0.0,1.2290014,0.0,0.0,0.0,0.0,0.0,1.2849993,20.15899
0.0,1.4150033,1.4830011,0.0,0.0,0.0,0.0,0.0,0.0,1.1089985,0.91000134,0.0,0.0,0.61500067,0.0,1.3849996,0.0,3.249997,0.0,0.0,0.0,1.257001,0.0,0.0,0.0,1.0519974,1.0800015,1.0769991,0.0,0.0,0.0,1.0170001,0.0,0.0,0.0,0.0,0.0,1.0809975,16.730997
0.0,1.4190036,1.4809966,0.0,0.0,0.0,0.0,0.0,0.0,1.1100003,0.81000066,0.0,0.0,1.2720013,0.0,1.3879967,0.0,3.136995,0.0,0.0,0.0,1.2580032,0.0,0.0,0.0,1.0479985,1.075003,0.9690005,0.0,0.0,0.0,0.9729986,0.0,0.0,0.0,0.0,0.0,1.0779972,17.017996
0.0,1.5260037,1.5750043,0.0,0.0,0.0,0.0,0.0,0.0,1.1719992,0.72100073,0.0,0.0,1.9980015,0.0,1.496999,0.0,3.274997,0.0,0.0,0.0,1.346997,0.0,0.0,0.0,1.1040024,1.1350012,0.8970013,0.0,0.0,0.0,0.9960002,0.0,0.0,0.0,0.0,0.0,1.1369992,18.380005
0.0,1.3349999,1.3890023,0.0,0.0,0.0,0.0,0.0,0.0,1.0370011,0.6580019,0.0,0.0,1.156,0.0,1.302998,0.0,2.7799935,0.0,0.0,0.0,1.1819991,0.0,0.0,0.0,0.9790027,1.0080025,0.81500345,0.0,0.0,0.0,0.8630003,0.0,0.0,0.0,0.0,0.0,1.0089985,15.514003
0.0,1.0860023,1.1519961,0.0,0.0,0.0,0.0,0.0,0.0,0.86500245,0.6490015,0.0,0.0,0.0,0.0,1.0529972,0.0,2.234007,0.0,0.0,0.0,0.97100073,0.0,0.0,0.0,0.8220026,0.84500146,0.77399975,0.0,0.0,0.0,0.72500205,0.0,0.0,0.0,0.0,0.0,0.8469995,12.023014
0.0,1.1200039,1.1829995,0.0,0.0,0.0,0.0,0.0,0.0,0.8870023,0.62700045,0.0,0.0,0.0,0.0,1.0920042,0.0,2.2640028,0.0,0.0,0.0,1.0009968,0.0,0.0,0.0,0.8380027,0.8630028,0.7610042,0.0,0.0,0.0,0.72500205,0.0,0.0,0.0,0.0,0.0,0.866003,12.227025
0.0,1.189998,1.2409971,0.0,0.0,0.0,0.0,0.0,0.0,0.9279968,0.62700045,0.0,0.0,0.0,0.0,1.1629986,0.0,2.3789907,0.0,0.0,0.0,1.0560014,0.0,0.0,0.0,0.876001,0.9030015,0.7890028,0.0,0.0,0.0,0.74600196,0.0,0.0,0.0,0.0,0.0,0.90399736,12.801988
0.0,1.4030029,1.4380018,0.0,0.0,0.0,0.0,0.0,0.0,1.0679975,0.618,0.0,0.0,0.0,0.0,1.3810034,0.0,2.8749971,0.0,0.0,0.0,1.2360013,0.0,0.0,0.0,1.003,1.0340022,0.80600363,0.0,0.0,0.0,0.8640011,0.0,0.0,0.0,0.0,0.0,1.0349984,14.761009
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7690003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014004091,0.0,0.0,0.0,0.0,0.0,0.0,2.0839999,0.0,0.0,0.0,2.867038
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014004091,0.0,0.0,0.0,0.0,0.0,0.0,1.7329992,0.0,0.0,0.0,2.3470035
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4699986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014004091,0.0,0.0,0.0,0.0,0.0,0.0,2.437999,0.0,0.0,0.0,3.9220114
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6180012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014004091,0.0,0.0,0.0,0.0,0.0,0.0,3.1590006,0.0,0.0,0.0,5.791026
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5670013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017000852,0.0,0.0,0.0,0.0,0.0,0.0,1.3959988,0.0,0.0,0.0,1.9800036
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57200044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017000852,0.0,0.0,0.0,0.0,0.0,0.0,1.361999,0.0,0.0,0.0,1.9509994
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0120125e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.518018e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0120125e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0120125e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008008e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008008e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008008e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.016016e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.230999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2309977
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78099936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78099984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7220012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7220028
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4480013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4480045
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2469993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.247
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2519989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2520009
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5140145e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5060062e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5140145e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.016016e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3109999,0.0,0.0,0.0,3.1850028
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65600014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9580003,0.0,0.0,0.0,2.614006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6209999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7440007,0.0,0.0,0.0,4.365003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.829001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2010014,0.0,0.0,0.0,6.0300045
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6140003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5459985,0.0,0.0,0.0,2.1600099
