B1000,B1001,B1002,B1003,B1004,B1005,B1006,B1007,B1008,B1010,B1011,B1012,B1013,B1014
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2661.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2185.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2540.0,0.0,0.0
529459.0,170972.0,164054.0,158577.0,164002.0,232168.0,232422.0,201924.0,230364.0,0.0,117576.0,199835.0,148622.0,0.0
461669.0,155152.0,149188.0,144243.0,149136.0,209058.0,210474.0,182091.0,206904.0,0.0,112833.0,184088.0,131782.0,97024.0
423848.0,147313.0,141685.0,137178.0,141614.0,197749.0,199708.0,172427.0,195801.0,0.0,109917.0,174082.0,122109.0,78751.0
370938.0,132938.0,128176.99999999999,124081.0,128056.99999999999,176907.0,179705.0,154626.0,174591.0,0.0,99032.0,153820.0,108507.0,77386.0
354281.0,130036.0,125200.0,121235.0,125018.0,173125.0,175689.0,151273.0,170878.0,0.0,89732.0,139361.0,103283.0,156935.0
356614.0,131615.0,126629.0,122560.0,126479.0,176666.0,178369.0,154137.0,174611.0,0.0,80891.0,130747.00000000001,102552.0,243415.0
323391.0,123112.0,118600.0,114792.0,118469.0,164389.0,166569.0,143632.0,162256.0,0.0,78260.0,124946.0,94294.0,153894.0
281514.0,111093.0,107364.0,103908.0,107199.0,146562.0,149822.0,128472.00000000001,144172.0,1954.0,78533.0,119970.0,84443.0,0.0
276560.0,110000.0,106199.0,102779.0,106051.0,145442.0,148402.0,127440.0,143250.0,3209.0,73941.0,112925.0,82506.0,0.0
272524.0,108961.0,105142.0,101758.0,105047.0,144688.0,147167.0,126609.0,142636.0,4395.0,69871.0,107772.0,80661.0,0.0
295830.0,114263.0,109957.0,106371.0,109875.0,153379.0,154785.0,133925.0,151746.0,5309.0,64941.99999999999,102355.0,85228.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133068.0,0.0,2147.0,0.0,81729.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121106.0,0.0,2152.0,0.0,69217.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197439.0,0.0,2156.0,0.0,156724.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273346.0,0.0,2161.0,0.0,244149.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109022.0,0.0,2621.0,0.0,65208.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107215.0,0.0,2628.0,0.0,64986.99999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2638.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2646.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2656.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2667.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2675.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2201.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2557.0,0.0,0.0
530378.0,164207.0,157694.0,152372.0,157668.0,222762.0,223116.0,193830.0,220998.0,0.0,118953.0,202924.0,149309.0,0.0
468073.0,150544.0,144866.0,140002.0,144836.0,202737.0,204149.0,176633.0,200637.0,0.0,116193.0,192400.0,133917.0,99289.0
432279.0,144186.0,138571.0,134536.0,138536.0,193257.0,195534.0,168824.0,191988.0,0.0,113010.0,180007.0,124563.0,80928.0
382392.0,130753.99999999999,125869.0,122645.0,125802.0,173664.0,177002.0,151845.0,172039.0,0.0,100985.0,158621.0,111062.0,79509.0
