SURFACE,BUILDING,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf44,B1003,top,0,1,463123.08,15224861.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224860.251600001 463124.0832 15224860.251600001 463124.0832 15224862.251600001 463122.0832 15224862.251600001,1094146.88,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf44
srf45,B1003,top,0,1,463123.08,15224863.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224862.251600001 463124.0832 15224862.251600001 463124.0832 15224864.251600001 463122.0832 15224864.251600001,1093577.25,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf45
srf46,B1003,top,0,1,463123.08,15224865.25,16.00,-0.00,0.00,1,3.99,roofs,3,0,463122.0832 15224866.251600001 463122.0832 15224864.251600001 463124.0832 15224864.251600001 463124.0832 15224866.206324369 463123.59656218864 15224866.251600001,1092803.38,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf46
srf47,B1003,top,0,1,463122.59,15224866.30,16.00,-0.00,0.00,1,0.11,roofs,3,0,463122.0832 15224866.251600001 463123.59656218864 15224866.251600001 463122.0832 15224866.392399643,1091288.88,0.00,15.33,1.82,-0.00,0.06,5,6,10,roofs_top,srf47
srf48,B1003,top,0,1,463125.13,15224833.92,16.00,-0.00,0.00,1,1.32,roofs,3,0,463126.0832 15224833.501371589 463126.0832 15224834.251600001 463124.0832 15224834.251600001 463124.0832 15224833.686403692,1082724.38,0.00,15.33,1.82,-0.00,0.70,5,6,10,roofs_top,srf48
srf49,B1003,top,0,1,463125.08,15224835.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224834.251600001 463126.0832 15224834.251600001 463126.0832 15224836.251600001 463124.0832 15224836.251600001,1085727.62,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf49
srf50,B1003,top,0,1,463125.08,15224837.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224836.251600001 463126.0832 15224836.251600001 463126.0832 15224838.251600001 463124.0832 15224838.251600001,1089972.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf50
srf51,B1003,top,0,1,463125.08,15224839.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224838.251600001 463126.0832 15224838.251600001 463126.0832 15224840.251600001 463124.0832 15224840.251600001,1092992.25,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf51
srf52,B1003,top,0,1,463125.08,15224841.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224840.251600001 463126.0832 15224840.251600001 463126.0832 15224842.251600001 463124.0832 15224842.251600001,1092992.25,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf52
srf53,B1003,top,0,1,463125.08,15224843.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463124.0832 15224842.251600001 463126.0832 15224842.251600001 463126.0832 15224844.251600001 463124.0832 15224844.251600001,1095738.25,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf53
